PassengerId,Survived
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,1
900,1
901,0
902,0
903,1
904,1
905,1
906,0
907,1
908,1
909,0
910,1
911,0
912,0
913,0
914,1
915,0
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,0
924,0
925,0
926,1
927,1
928,1
929,1
930,0
931,1
932,0
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,1
941,0
942,1
943,1
944,1
945,1
946,1
947,0
948,0
949,1
950,1
951,0
952,1
953,0
954,1
955,1
956,1
957,0
958,1
959,1
960,0
961,1
962,1
963,1
964,1
965,0
966,0
967,1
968,1
969,1
970,0
971,0
972,0
973,0
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,0
989,0
990,0
991,0
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,0
1028,1
1029,1
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,0
1060,1
1061,1
1062,0
1063,1
1064,1
1065,0
1066,0
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,1
1093,1
1094,0
1095,0
1096,1
1097,0
1098,0
1099,0
1100,1
1101,1
1102,0
1103,0
1104,1
1105,0
1106,0
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,1
1120,1
1121,0
1122,1
1123,0
1124,1
1125,1
1126,0
1127,0
1128,1
1129,0
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,0
1140,0
1141,1
1142,1
1143,1
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1150,0
1151,0
1152,0
1153,0
1154,1
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,0
1163,0
1164,0
1165,0
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,1
1175,0
1176,0
1177,1
1178,0
1179,1
1180,0
1181,0
1182,0
1183,0
1184,1
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,1
1192,1
1193,0
1194,1
1195,1
1196,0
1197,0
1198,0
1199,0
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,0
1207,0
1208,1
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,0
1217,0
1218,1
1219,1
1220,0
1221,1
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,1
1233,1
1234,0
1235,1
1236,0
1237,1
1238,1
1239,0
1240,0
1241,1
1242,1
1243,0
1244,0
1245,1
1246,0
1247,1
1248,1
1249,0
1250,1
1251,1
1252,1
1253,1
1254,0
1255,1
1256,0
1257,1
1258,0
1259,0
1260,1
1261,0
1262,0
1263,0
1264,0
1265,0
1266,1
1267,1
1268,0
1269,1
1270,1
1271,0
1272,1
1273,0
1274,0
1275,1
1276,1
1277,1
1278,0
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,0
1286,0
1287,1
1288,1
1289,0
1290,1
1291,1
1292,1
1293,1
1294,0
1295,1
1296,0
1297,0
1298,1
1299,0
1300,0
1301,0
1302,1
1303,1
1304,0
1305,1
1306,0
1307,1
1308,0
1309,0
